id,latitude,longitude,type,city,district,road_name,speed_limit,direction,source,confidence_score,timestamp,osm_id,last_updated,status
eds_1,39.1,35.1,OHITS,Diger,,,,,embedded_json (merged from 3 sources),0.9000000000000001,1749537700.075595,,2025-06-10T10:15:24.639275,active
sample_001,41.0082,28.9784,OHITS,Istanbul,Sisli,Buyukdere Caddesi,50,N-S,multiple (merged from 2 sources),1.0,1749539724.639306,,2025-06-10T09:40:21.667487,active
eds_002184,41.0176784,28.9725003,OHITS,Istanbul,Unknown,speed_camera,50,,openstreetmap (merged from 3 sources),1.0,1749539724.646026,31678600,2025-06-10T09:37:11.235345,active
eds_002185,36.76389,29.4594683,OHITS,Diger,Unknown,speed_camera,,,openstreetmap (merged from 3 sources),1.0,1749539724.647199,45337046,2025-06-10T09:37:11.235353,active
eds_002186,36.5644203,31.9215432,OHITS,Diger,Unknown,speed_camera,,,openstreetmap (merged from 3 sources),1.0,1749539724.648366,60063639,2025-06-10T09:37:11.235356,active
eds_002187,40.1637179,44.4186902,OHITS,Diger,Unknown,speed_camera,,,openstreetmap (merged from 6 sources),1.0,1749539724.6495821,130041119,2025-06-10T09:37:11.235358,active
eds_002189,37.5119079,29.685886,OHITS,Diger,Unknown,speed_camera,,,openstreetmap (merged from 3 sources),1.0,1749539724.650748,196870512,2025-06-10T09:37:11.235362,active
eds_002190,40.7392301,44.6906133,OHITS,Diger,Unknown,speed_camera,60,,openstreetmap (merged from 3 sources),1.0,1749539724.6518579,208856779,2025-06-10T09:37:11.235364,active
eds_002191,41.8492115,44.7319077,OHITS,Diger,Unknown,speed_camera,110,,openstreetmap (merged from 6 sources),1.0,1749539724.652962,220729275,2025-06-10T09:37:11.235367,active
eds_002192,41.8423539,44.7304348,OHITS,Diger,Unknown,speed_camera,110,,openstreetmap (merged from 3 sources),1.0,1749539724.654068,220734883,2025-06-10T09:37:11.235370,active
eds_002193,41.8271001,44.7359098,OHITS,Diger,Unknown,speed_camera,90,,openstreetmap (merged from 6 sources),1.0,1749539724.655164,220752256,2025-06-10T09:37:11.235372,active
eds_002194,41.7519462,44.7777786,OHITS,Diger,Unknown,speed_camera,70,,openstreetmap (merged from 6 sources),1.0,1749539724.656265,220993269,2025-06-10T09:37:11.235385,active
eds_002195,41.7857529,44.7999637,OHITS,Diger,Unknown,speed_camera,70,,openstreetmap (merged from 3 sources),1.0,1749539724.657325,221144118,2025-06-10T09:37:11.235387,active
eds_002197,41.0310055,28.9229061,OHITS,Istanbul,Unknown,speed_camera,50,,openstreetmap (merged from 6 sources),1.0,1749539724.658379,243883005,2025-06-10T09:37:11.235391,active
eds_002198,41.0258846,28.9286804,OHITS,Istanbul,Unknown,speed_camera,50,,openstreetmap (merged from 3 sources),1.0,1749539724.659381,245014142,2025-06-10T09:37:11.235393,active
eds_002199,41.0215597,28.9192564,OHITS,Istanbul,Unknown,speed_camera,80,,openstreetmap (merged from 3 sources),1.0,1749539724.660387,251296313,2025-06-10T09:37:11.235396,active
